"ObservationDate","Height","Build","HeightFeet","HeightInches","EstimatedWeightPounds","BMI","CDCWeightStatus"
"10/1/1975","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"1/22/1976","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/10/1973","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"4/1/1964","9-10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
"11/1/1967","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"4/1/1970","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"8/11/1970","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"8/11/1970","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"1/1/1973","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"10/9/1972","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"10/1/1973","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"8/1/1975","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"9/14/1975","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"9/3/1975","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"5/11/1976","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"7/1/1964","10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
"9/19/1966","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"9/1/1967","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"9/15/1970","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"9/17/1967","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"9/17/1967","9-10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
"10/1/1967","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"12/1/1967","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"6/1/1968","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"6/1/1968","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"6/1/1968","5 ft","medium",5,60,529,103.301944444444,"Obese"
"8/4/1969","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/4/1969","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"9/30/1969","10 ft","heavy",10,120,648.5,31.6594097222222,"Obese"
"9/13/1969","5-6 ft","medium",6,72,529,71.7374614197531,"Obese"
"11/1/1969","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"5/20/1974","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"10/1/1985","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"6/1/1989","7 ft","thin",7,84,428.5,42.6921060090703,"Obese"
"9/30/1972","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"4/5/1973","5 ft","very heavy",5,60,1012,197.621111111111,"Obese"
"8/1/1973","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"5/12/1974","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"10/3/1976","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"3/4/1977","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"6/10/1982","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"11/1/1985","5-6 ft","thin",6,72,428.5,58.108699845679,"Obese"
"3/20/1977","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"8/20/1977","over 14 ft","heavy",14,168,648.5,16.1527600623583,"Underweight"
"5/1/1942","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"8/1/1956","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/1/1954","13 ft","medium",13,156,529,15.2813527284681,"Underweight"
"8/24/1969","14 ft","heavy",14,168,648.5,16.1527600623583,"Underweight"
"9/1/1969","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"6/1/1972","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"10/1/1974","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"5/11/1974","12 ft","heavy",12,144,648.5,21.9857011959877,"Normal"
"6/1/1974","10 ft","heavy",10,120,648.5,31.6594097222222,"Obese"
"11/1/1975","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"11/1/1978","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"8/1/1977","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"11/1/1993","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"5/26/1976","5-6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"8/11/1968","10 ft","heavy",10,120,648.5,31.6594097222222,"Obese"
"6/26/1973","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/7/1973","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"3/28/1977","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"6/3/1988","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"8/1/1962","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"5/19/1973","5-6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"8/1/1972","6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"8/22/1972","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"7/1/1979","6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"2/1/1981","7 ft","thin",7,84,428.5,42.6921060090703,"Obese"
"4/16/1981","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"10/1/1983","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"4/23/1969","6 ft","medium",6,72,529,71.7374614197531,"Obese"
"11/26/1974","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"7/15/1976","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"9/5/1977","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"9/5/1977","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"3/11/1978","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"7/13/1978","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"10/1/1978","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"11/19/1978","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"12/2/1978","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"1/1/1979","9-10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
"5/1/1979","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"6/13/1979","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"10/7/1981","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"12/14/1981","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
